term,doc_id,tf,tfidf
correl,1,4,0.6481331029339586
matern,1,6,1.2754659871069562
fetal,1,6,1.2754659871069562
plasma,1,3,0.4468915217527893
level,1,8,0.9150712842750578
glucos,1,4,0.7747060049018172
free,1,1,0.16593238826305395
fatti,1,1,0.18865540810158324
acid,1,1,0.1266378807087935
coeffici,1,2,0.5159063023810452
determin,1,1,0.12798273611640812
ffa,1,3,0.8394241114400751
collect,1,1,0.2179077673581114
deliveri,1,3,0.7026819922502267
signific,1,1,0.1200817835338702
obtain,1,1,0.12576327176849394
size,1,1,0.174792976968848
slope,1,1,0.2714919124105655
regress,1,1,0.20548296819947753
line,1,1,0.1798912722912815
appear,1,1,0.10762160922992328
strongli,1,1,0.24249188054993098
depend,1,2,0.3741713755955537
upon,1,2,0.3381461141444308
wherea,1,1,0.18865540810158324
slightli,1,1,0.21257766451782606
chang,2,1,0.06691109676455187
nucleic,2,1,0.16477565112566817
acid,2,1,0.08442525380586233
phospholipid,2,1,0.15879902768536822
level,2,1,0.07625594035625481
liver,2,3,0.27975571945902794
cours,2,1,0.11200259839516975
fetal,2,1,0.14171844301188402
postnat,2,1,0.1865386914311278
develop,2,3,0.2092284082616555
follow,2,2,0.13510156695554854
evolut,2,1,0.16819035903554425
dna,2,4,0.4537752991837441
rna,2,4,0.5212421729488314
pl,2,4,1.0048401795859745
rat,2,3,0.24981101192708574
foeti,2,1,0.2512100448964936
remov,2,1,0.11344382479593602
fifteenth,2,1,0.2512100448964936
twenti,2,1,0.1452718449054076
first,2,1,0.08954879119653963
day,2,12,0.9606542682709616
gestat,2,1,0.16819035903554425
young,2,1,0.12370860069518849
newli,2,1,0.161661253699954
born,2,1,0.1434498646267921
wean,2,2,0.4230397501149253
observ,2,1,0.0662865737731504
fact,2,1,0.1190449775531657
1,2,1,0.06582775674431253
concentr,2,3,0.27293122972798717
1100,2,1,0.2512100448964936
ug,2,4,0.6246062153335348
p,2,2,0.2905436898108152
15,2,4,0.46611460525026127
th,2,8,1.1475989170143368
decreas,2,2,0.17909758239307927
19,2,2,0.29845672961527736
reach,2,1,0.12911766748363618
valu,2,1,0.09656935446784795
280,2,1,0.2512100448964936
5,2,2,0.15811361410968422
2,2,1,0.05907427518764969
1400,2,1,0.2512100448964936
820,2,1,0.2512100448964936
period,2,1,0.0778563002326352
3,2,3,0.1974832702329376
low,2,1,0.10127649020478321
foetal,2,4,0.7239784330948412
life,2,6,0.6806629487756162
700,2,1,0.22615919617741292
increas,2,2,0.11956079490964147
abruptli,2,1,0.2512100448964936
birth,2,1,0.12083382285125378
4,2,1,0.07137206457500346
ratio,2,1,0.12176517113485122
cyto,2,2,0.4022864608435131
regularli,2,1,0.1809946082737103
18,2,2,0.2606210864744157
nuclear,2,1,0.1452718449054076
content,2,1,0.10802218382232644
high,2,1,0.08593482156786084
throughout,2,1,0.1434498646267921
6,2,1,0.08624608024909286
